sector,quarter,cum_funding_m,num_companies,avg_funding_rounds,avg_investor_quality,total_venture_m,total_seed_m,total_angel_m,total_pe_m,max_single_round_m,avg_round_types,cum_funding_running_m,new_funding_m,rolling_2q_funding,prev_2q_funding,funding_velocity,round_frequency,valuation_stepup,investor_competition,sentiment_proxy,stem,investor_tier,sector_multiple,trl,regulatory_momentum,cost_years_remaining,competitor_count,current_value_score,momentum_score,future_potential_score,techstock_score,techstock_market_cap_m
Data Center,1990-01-01,1.0,1,1.0,1.2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,0.01075268805642271,1.0,0.0,0.0,data_center,1.4,14.0,7.0,0.5,3.0,1.0,0.0,15.060934142295823,82.54290762089086,25.907053855026252,16.108530779921413
Autonomous Vehicles,1998-10-01,77.33699,1,3.0,1.5,75.35,1.98699,0.0,0.0,77.33699,2.0,77.33699,77.33699,77.33699,,,0.015384615147928998,1.0,0.25,0.0,Autonomous_Vehicles,1.5,12.0,6.0,0.3,4.0,1.0,0.0936158626453995,27.344500175030586,72.14035920633015,27.6431112079014,1197.0941804119643
AI Campus,2000-01-01,2.25,1,2.0,1.2,2.05,0.0,0.2,0.0,2.25,1.0,2.25,2.25,2.25,,,0.03999999840000006,1.0,0.125,0.0,AI_Campus,1.5,18.0,5.0,0.6,5.0,1.0,0.0012231453398598442,21.86019752005941,68.27243863430942,24.719668048734093,1767.6623734104694
Data Center,2000-01-01,12.15,2,1.0,1.25,11.5,0.65,0.0,0.0,11.5,0.0,13.15,12.15,13.15,,,0.02150537611284542,10.0,0.0,0.0,data_center,1.4,14.0,7.0,0.5,3.0,1.5,0.012425118077409586,37.6773953060955,82.5767935588312,33.836256794072185,1787.4902124418397
Data Center,2000-04-01,5.3,1,1.0,1.5,5.3,0.0,0.0,0.0,5.3,1.0,18.45,5.3,17.45,1.0,3.0,0.01075268805642271,0.4608695652173913,0.125,0.0,data_center,1.4,14.0,7.0,0.5,3.0,1.3333333333333333,0.021588515248526254,47.36708842800106,84.44261996421223,37.697771346952834,2002.0082160563875
Data Center,2000-10-01,21.0,1,3.0,1.5,17.0,4.0,0.0,0.0,21.0,1.0,39.45,21.0,26.299999999999997,13.15,0.9999999239543782,0.01075268805642271,3.9622641509433962,0.125,0.0,data_center,1.4,14.0,7.0,0.5,3.0,1.25,0.047274567385582986,37.69042991089938,84.43697230788884,34.31980337274123,784.5600696323047
Autonomous Vehicles,2002-04-01,6.779357,1,2.0,1.5,6.779357,0.0,0.0,0.0,6.779357,2.0,84.116347,6.779357,84.116347,,,0.015384615147928998,0.2,0.25,0.0,Autonomous_Vehicles,1.5,12.0,6.0,0.3,4.0,1.0,0.10190800156719573,25.35748207392443,72.14035920633015,26.950971728082965,680.3805971211154
Semiconductor Plant,2002-07-01,18.885799,1,2.0,1.0,0.0,0.0,0.0,0.0,18.885799,0.0,18.885799,18.885799,18.885799,,,0.041666664930555625,1.0,0.0,0.0,SemiConductor_Plant,1.5,10.0,7.0,0.8,6.0,1.0,0.014421535085698597,15.815643249121509,80.99450851222971,25.789870879284237,601.8377968680946
AI Campus,2003-01-01,0.35,1,1.0,1.0,0.0,0.35,0.0,0.0,0.35,0.0,2.6,0.35,2.6,,,0.03999999840000006,0.2,0.0,0.0,AI_Campus,1.5,18.0,5.0,0.6,5.0,1.0,0.0011416023172025214,13.78793648431566,66.39531691628162,21.425063639507766,962.9563652510745
Robotics,2003-01-01,19.5,1,1.0,1.5,19.5,0.0,0.0,0.0,19.5,1.0,19.5,19.5,19.5,,,0.04761904535147403,1.0,0.125,0.0,robotics,1.3,16.0,4.0,0.2,7.0,1.0,0.02287281785537909,22.04620283872228,28.89886129978274,14.950035445640633,888.792313825934
Data Center,2003-04-01,0.25,1,1.0,1.0,0.0,0.25,0.0,0.0,0.25,0.0,39.7,0.25,21.249999999999996,17.45,0.21776503050057114,0.01075268805642271,0.2,0.0,-0.375,data_center,1.4,14.0,7.0,0.5,3.0,1.25,0.03139406372306934,10.509731586632393,76.92848543577762,22.92308503975497,603.1634256452563
Autonomous Vehicles,2003-07-01,15.0,1,1.0,1.5,15.0,0.0,0.0,0.0,15.0,0.0,99.116347,15.0,21.779357,77.33699,-0.7183836904127806,0.015384615147928998,2.2125992184804546,0.0,0.0,Autonomous_Vehicles,1.5,12.0,6.0,0.3,4.0,1.0,0.12025518166509341,11.586286238658813,68.38611577027453,21.199831198765253,470.00143763723094
